model,extraction,dataset,layer,auc_vs_all_controls,auc_vs_neutral,auc_std
Bonsai_2_27B_ternary,mean,S1_1P,58,0.9305,0.8415000000000001,0.029807717121577742
Bonsai_2_27B_ternary,mean,S1_1P,59,0.9279999999999999,0.8405000000000001,0.028521921393903332
Bonsai_2_27B_ternary,mean,S1_1P,60,0.9275,0.8355,0.03213253802611925
Bonsai_2_27B_ternary,mean,S1_1P,61,0.9289999999999999,0.8355,0.029857997253667203
Bonsai_2_27B_ternary,mean,S1_1P,62,0.9244999999999999,0.834,0.0321091887160046
Bonsai_2_27B_ternary,mean,S1_1P,63,0.8960000000000001,0.8254999999999999,0.024779023386727748
Bonsai_2_27B_ternary,mean,S1_3P,0,0.8055,0.7949999999999999,0.050532167972490584
Bonsai_2_27B_ternary,mean,S1_3P,1,0.8205,0.7945,0.04618982571952399
Bonsai_2_27B_ternary,mean,S1_3P,2,0.8240000000000001,0.8099999999999999,0.047238755275726727
Bonsai_2_27B_ternary,mean,S1_3P,3,0.8450000000000001,0.813,0.05515886148208646
Bonsai_2_27B_ternary,mean,S1_3P,4,0.836,0.808,0.047999999999999994
Bonsai_2_27B_ternary,mean,S1_3P,5,0.8400000000000001,0.818,0.05375872022286246
Bonsai_2_27B_ternary,mean,S1_3P,6,0.8594999999999999,0.8245000000000001,0.059274783846084186
Bonsai_2_27B_ternary,mean,S1_3P,7,0.874,0.827,0.05741515479383469
Bonsai_2_27B_ternary,mean,S1_3P,8,0.8819999999999999,0.8314999999999999,0.0501846590104984
Bonsai_2_27B_ternary,mean,S1_3P,9,0.877,0.8354999999999999,0.05199519208542265
Bonsai_2_27B_ternary,mean,S1_3P,10,0.893,0.829,0.040908434338165545
Bonsai_2_27B_ternary,mean,S1_3P,11,0.9014999999999999,0.8285,0.03448187929913333
Bonsai_2_27B_ternary,mean,S1_3P,12,0.89,0.8305,0.047460509900337185
Bonsai_2_27B_ternary,mean,S1_3P,13,0.8924999999999998,0.8280000000000001,0.03876209488662862
Bonsai_2_27B_ternary,mean,S1_3P,14,0.889,0.8254999999999999,0.03378609181305229
Bonsai_2_27B_ternary,mean,S1_3P,15,0.8875,0.8254999999999999,0.03391164991562636
Bonsai_2_27B_ternary,mean,S1_3P,16,0.8835,0.8260000000000002,0.038974350539810194
Bonsai_2_27B_ternary,mean,S1_3P,17,0.8869999999999999,0.827,0.04264387412044075
Bonsai_2_27B_ternary,mean,S1_3P,18,0.892,0.8325000000000001,0.03210918871600466
Bonsai_2_27B_ternary,mean,S1_3P,19,0.8985000000000001,0.8390000000000001,0.031048349392520058
Bonsai_2_27B_ternary,mean,S1_3P,20,0.9045,0.8400000000000001,0.0336674917390648
Bonsai_2_27B_ternary,mean,S1_3P,21,0.9164999999999999,0.842,0.03261901286060015
Bonsai_2_27B_ternary,mean,S1_3P,22,0.9195,0.8395000000000001,0.026334388164527395
Bonsai_2_27B_ternary,mean,S1_3P,23,0.9184999999999999,0.836,0.02113054660911545
Bonsai_2_27B_ternary,mean,S1_3P,24,0.9265000000000001,0.8440000000000001,0.020285462775100863
Bonsai_2_27B_ternary,mean,S1_3P,25,0.924,0.8420000000000002,0.020285462775100807
Bonsai_2_27B_ternary,mean,S1_3P,26,0.9279999999999999,0.8380000000000001,0.022102036105300375
Bonsai_2_27B_ternary,mean,S1_3P,27,0.923,0.8345,0.018668154702594423
Bonsai_2_27B_ternary,mean,S1_3P,28,0.9269999999999999,0.8309999999999998,0.015604486534327226
Bonsai_2_27B_ternary,mean,S1_3P,29,0.9235,0.8274999999999999,0.01624807680927194
Bonsai_2_27B_ternary,mean,S1_3P,30,0.9209999999999999,0.8270000000000002,0.018547236990991384
Bonsai_2_27B_ternary,mean,S1_3P,31,0.9225,0.8305,0.017392527130926087
Bonsai_2_27B_ternary,mean,S1_3P,32,0.9229999999999998,0.8295,0.015684387141358096
Bonsai_2_27B_ternary,mean,S1_3P,33,0.9269999999999999,0.8310000000000001,0.01258967831201418
Bonsai_2_27B_ternary,mean,S1_3P,34,0.9265000000000001,0.8310000000000001,0.01699999999999995
Bonsai_2_27B_ternary,mean,S1_3P,35,0.93,0.8325000000000001,0.01423024947075772
Bonsai_2_27B_ternary,mean,S1_3P,36,0.9410000000000001,0.8415000000000001,0.01750714140001158
Bonsai_2_27B_ternary,mean,S1_3P,37,0.9475000000000001,0.8450000000000001,0.017677669529663667
Bonsai_2_27B_ternary,mean,S1_3P,38,0.9469999999999998,0.845,0.01691153452528777
Bonsai_2_27B_ternary,mean,S1_3P,39,0.9455000000000002,0.8425,0.01653783540854122
Bonsai_2_27B_ternary,mean,S1_3P,40,0.9410000000000001,0.8354999999999999,0.018069310999592667
Bonsai_2_27B_ternary,mean,S1_3P,41,0.942,0.8315000000000001,0.018398369492974128
Bonsai_2_27B_ternary,mean,S1_3P,42,0.9339999999999999,0.8335000000000001,0.016777961735562556
Bonsai_2_27B_ternary,mean,S1_3P,43,0.9349999999999999,0.827,0.018907670401189073
Bonsai_2_27B_ternary,mean,S1_3P,44,0.9295,0.827,0.021470910553583886
Bonsai_2_27B_ternary,mean,S1_3P,45,0.9295,0.8245000000000001,0.01932614809008773
Bonsai_2_27B_ternary,mean,S1_3P,46,0.9269999999999999,0.8205000000000002,0.016309506430300092
Bonsai_2_27B_ternary,mean,S1_3P,47,0.9254999999999999,0.82,0.018124568960391885
Bonsai_2_27B_ternary,mean,S1_3P,48,0.9269999999999999,0.825,0.01727715254317096
Bonsai_2_27B_ternary,mean,S1_3P,49,0.925,0.8220000000000001,0.01857417562100669
Bonsai_2_27B_ternary,mean,S1_3P,50,0.9275,0.8200000000000001,0.020796634343085412
Bonsai_2_27B_ternary,mean,S1_3P,51,0.9240000000000002,0.8259999999999998,0.02200000000000001
Bonsai_2_27B_ternary,mean,S1_3P,52,0.9275,0.825,0.022079402165819644
Bonsai_2_27B_ternary,mean,S1_3P,53,0.9285,0.8210000000000001,0.019339079605813703
Bonsai_2_27B_ternary,mean,S1_3P,54,0.9380000000000001,0.8260000000000002,0.017846568297574767
Bonsai_2_27B_ternary,mean,S1_3P,55,0.9349999999999999,0.8305000000000001,0.014916433890176332
Bonsai_2_27B_ternary,mean,S1_3P,56,0.9315000000000001,0.8344999999999999,0.020530465167647848
Bonsai_2_27B_ternary,mean,S1_3P,57,0.9315,0.835,0.023162469643800983
Bonsai_2_27B_ternary,mean,S1_3P,58,0.93,0.8375,0.02524876234590525
Bonsai_2_27B_ternary,mean,S1_3P,59,0.929,0.8375,0.022671568097509316
Bonsai_2_27B_ternary,mean,S1_3P,60,0.93,0.8394999999999999,0.022583179581272456
Bonsai_2_27B_ternary,mean,S1_3P,61,0.93,0.837,0.02524876234590523
Bonsai_2_27B_ternary,mean,S1_3P,62,0.921,0.829,0.025913317039699877
Bonsai_2_27B_ternary,mean,S1_3P,63,0.9105000000000001,0.8225,0.029171904291629653
